Date,Colombo Wholesale Price,Colombo Retail Price,Dampulla Wholesale Price,Dampulla Retail Price,Jaffna Wholesale Price,Jaffna Retail Price,Vavuniya Wholesale Price,Vavuniya Retail Price,Kilinochchi Wholesale Price,Kilinochchi Retail Price,Mullaitivu Wholesale Price,Mullaitivu Retail Price,Galle Wholesale Price,Galle Retail Price,Kandy Wholesale Price,Kandy Retail Price,Gampaha Wholesale Price,Gampaha Retail Price,Kurunegala Wholesale Price,Kurunegala Retail Price,Anuradhapura Wholesale Price,Anuradhapura Retail Price,Matara Wholesale Price,Matara Retail Price,Polonnaruwa Wholesale Price,Polonnaruwa Retail Price,Badulla Wholesale Price,Badulla Retail Price,Mannar Wholesale Price,Mannar Retail Price,Kalutara Wholesale Price,Kalutara Retail Price,Batticaloa Wholesale Price,Batticaloa Retail Price,Ratnapura Wholesale Price,Ratnapura Retail Price,Trincomalee Wholesale Price,Trincomalee Retail Price,Hambantota Wholesale Price,Hambantota Retail Price,Nuwara Eliya Wholesale Price,Nuwara Eliya Retail Price,Kegalle Wholesale Price,Kegalle Retail Price,Monaragala Wholesale Price,Monaragala Retail Price,Ampara Wholesale Price,Ampara Retail Price,Puttalam Wholesale Price,Puttalam Retail Price
Date,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-08-31,Rs. 50,Rs. 120,Rs. 28,Rs. 75,-,-,-,-,-,-,-,-,-,Rs. 100,Rs. 45,Rs. 70,-,-,-,Rs. 90,-,-,-,Rs. 90,-,Rs. 75,-,Rs. 130,-,-,-,-,-,-,-,Rs. 105,-,-,Rs. 45,Rs. 70,Rs. 38,Rs. 75,-,Rs. 95,-,-,-,-,-,-
2020-08-24,Rs. 35,Rs. 120,Rs. 28,Rs. 85,-,-,-,Rs. 110,-,-,-,-,-,Rs. 90,Rs. 43,Rs. 70,-,Rs. 100,-,Rs. 90,-,Rs. 90,-,Rs. 90,-,-,-,Rs. 70,-,-,-,-,-,Rs. 45,-,Rs. 90,-,Rs. 85,Rs. 45,Rs. 70,Rs. 35,Rs. 75,-,Rs. 80,-,-,-,-,-,Rs. 99
Date,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-08-17,Rs. 32,Rs. 95,Rs. 27,Rs. 70,-,-,-,Rs. 110,-,-,-,-,-,Rs. 90,Rs. 43,Rs. 70,-,Rs. 100,-,Rs. 80,-,Rs. 70,-,Rs. 90,-,Rs. 85,-,Rs. 70,-,-,-,Rs. 120,-,-,-,Rs. 100,-,-,Rs. 35,Rs. 65,Rs. 38,Rs. 75,-,Rs. 80,-,-,-,-,-,Rs. 78
2020-08-10,Rs. 30,Rs. 110,Rs. 25,Rs. 70,-,-,-,Rs. 110,-,-,-,-,-,Rs. 80,Rs. 35,Rs. 70,-,Rs. 110,-,Rs. 90,-,Rs. 70,-,Rs. 90,-,Rs. 90,-,Rs. 90,-,-,-,Rs. 120,-,-,-,Rs. 80,-,-,Rs. 30,Rs. 70,Rs. 45,Rs. 75,-,Rs. 80,-,-,-,-,-,Rs. 95
2020-08-03,Rs. 35,Rs. 100,Rs. 30,Rs. 70,-,-,-,Rs. 110,-,-,-,-,-,-,Rs. 45,Rs. 90,-,Rs. 100,-,Rs. 90,-,Rs. 80,-,Rs. 90,-,Rs. 75,-,Rs. 100,-,-,-,Rs. 120,-,Rs. 45,-,Rs. 100,-,-,Rs. 45,Rs. 70,Rs. 45,Rs. 75,-,Rs. 80,-,-,-,-,-,Rs. 80
2020-07-27,Rs. 35,Rs. 100,Rs. 33,Rs. 70,-,-,-,Rs. 110,-,-,-,-,-,Rs. 70,Rs. 40,Rs. 90,-,Rs. 100,-,Rs. 100,-,Rs. 80,-,Rs. 90,-,Rs. 75,-,Rs. 130,-,-,-,Rs. 120,-,Rs. 45,-,Rs. 98,-,Rs. 85,Rs. 45,Rs. 70,Rs. 40,Rs. 75,-,Rs. 90,-,-,-,-,-,Rs. 95
2020-07-20,Rs. 35,Rs. 100,Rs. 35,Rs. 70,-,-,-,Rs. 110,-,-,-,-,-,Rs. 80,Rs. 45,Rs. 90,-,Rs. 90,-,Rs. 100,-,Rs. 80,-,Rs. 70,-,Rs. 75,-,Rs. 90,-,-,-,Rs. 110,-,Rs. 45,-,Rs. 75,-,Rs. 85,Rs. 40,Rs. 70,Rs. 40,Rs. 75,-,Rs. 90,-,-,-,-,-,Rs. 95
2020-07-13,Rs. 40,Rs. 100,Rs. 45,Rs. 90,-,-,-,Rs. 110,-,-,-,-,-,Rs. 70,Rs. 45,Rs. 90,-,Rs. 120,-,Rs. 100,-,-,-,Rs. 70,-,Rs. 75,-,Rs. 110,-,-,-,Rs. 110,-,Rs. 45,-,Rs. 90,-,-,Rs. 35,Rs. 70,Rs. 40,Rs. 75,-,Rs. 80,-,-,-,-,-,Rs. 95
2020-07-06,Rs. 45,Rs. 100,Rs. 35,Rs. 90,-,-,-,Rs. 110,-,-,-,-,-,Rs. 70,Rs. 43,Rs. 90,-,Rs. 100,-,Rs. 90,-,-,-,Rs. 90,-,Rs. 55,-,Rs. 110,-,-,-,Rs. 110,-,Rs. 45,-,Rs. 95,-,Rs. 85,Rs. 50,Rs. 70,Rs. 45,Rs. 75,-,-,-,-,-,-,-,Rs. 95
2020-06-29,Rs. 45,Rs. 120,Rs. 43,Rs. 70,-,-,-,Rs. 110,-,-,-,-,-,Rs. 90,Rs. 45,Rs. 90,-,Rs. 130,-,Rs. 90,-,-,-,Rs. 90,-,Rs. 65,-,Rs. 110,-,-,-,Rs. 100,-,-,-,Rs. 100,-,Rs. 85,Rs. 55,Rs. 90,Rs. 48,Rs. 65,-,-,-,-,-,Rs. 85,-,Rs. 90
2020-03-23,Rs. 25,Rs. 85,Rs. 14,Rs. 45,-,-,-,Rs. 70,-,-,-,Rs. 85,-,Rs. 80,Rs. 25,Rs. 65,-,Rs. 100,-,Rs. 80,-,Rs. 70,-,-,-,Rs. 65,-,Rs. 70,-,-,-,Rs. 110,-,Rs. 50,-,Rs. 80,-,Rs. 90,-,-,Rs. 18,Rs. 55,-,Rs. 70,-,-,-,Rs. 110,-,Rs. 83
2020-03-16,Rs. 25,Rs. 100,Rs. 18,Rs. 45,-,-,-,Rs. 70,-,-,-,Rs. 85,-,Rs. 80,Rs. 25,Rs. 65,-,Rs. 100,-,Rs. 90,-,Rs. 70,-,-,-,Rs. 70,-,Rs. 70,-,-,-,Rs. 110,-,Rs. 50,-,Rs. 80,-,Rs. 90,-,-,Rs. 18,Rs. 55,-,Rs. 70,-,-,-,Rs. 110,-,Rs. 83
Date,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-03-09,Rs. 25,Rs. 100,Rs. 15,Rs. 45,-,-,-,Rs. 70,-,-,-,Rs. 85,-,Rs. 80,Rs. 25,Rs. 65,-,Rs. 100,-,Rs. 90,-,Rs. 70,-,-,-,Rs. 70,-,Rs. 70,-,-,-,Rs. 110,-,Rs. 50,-,Rs. 80,-,Rs. 90,-,-,Rs. 18,Rs. 55,-,Rs. 70,-,-,-,Rs. 110,-,Rs. 83
2020-03-02,Rs. 25,Rs. 85,Rs. 14,Rs. 45,-,-,-,Rs. 70,-,-,-,Rs. 85,-,Rs. 80,Rs. 25,Rs. 65,-,Rs. 100,-,Rs. 80,-,Rs. 70,-,-,-,Rs. 65,-,Rs. 70,-,-,-,Rs. 110,-,Rs. 50,-,Rs. 80,-,Rs. 90,-,-,Rs. 18,Rs. 55,-,Rs. 70,-,-,-,Rs. 110,-,Rs. 83
2020-02-24,Rs. 25,Rs. 90,Rs. 13,Rs. 55,-,-,-,Rs. 70,-,-,-,Rs. 85,-,Rs. 80,Rs. 28,Rs. 70,-,Rs. 120,-,Rs. 90,-,Rs. 70,-,Rs. 70,-,Rs. 75,-,Rs. 70,-,-,-,Rs. 110,-,Rs. 50,-,Rs. 90,-,Rs. 90,Rs. 35,Rs. 70,Rs. 18,Rs. 55,-,Rs. 70,-,-,-,Rs. 110,-,Rs. 70
2020-02-17,Rs. 25,Rs. 100,Rs. 14,Rs. 50,-,-,-,Rs. 70,-,-,-,Rs. 110,-,-,Rs. 35,Rs. 70,-,Rs. 120,-,Rs. 95,-,Rs. 70,-,Rs. 65,-,Rs. 100,-,Rs. 90,-,-,-,Rs. 120,-,Rs. 70,-,Rs. 90,-,Rs. 90,Rs. 50,Rs. 85,Rs. 23,Rs. 55,-,Rs. 80,-,Rs. 55,-,Rs. 130,-,Rs. 90
2020-02-10,Rs. 35,Rs. 115,Rs. 23,Rs. 70,-,-,-,Rs. 110,-,-,-,-,-,Rs. 110,Rs. 35,Rs. 90,-,Rs. 110,-,Rs. 120,-,Rs. 100,-,Rs. 85,-,Rs. 110,-,Rs. 140,-,-,-,Rs. 160,-,Rs. 90,-,Rs. 110,-,Rs. 90,Rs. 55,Rs. 110,Rs. 38,Rs. 85,-,Rs. 110,Rs. 70,Rs. 115,-,Rs. 150,-,Rs. 90
2020-02-03,Rs. 60,Rs. 140,Rs. 52,Rs. 110,-,-,-,Rs. 110,-,-,-,-,-,Rs. 110,Rs. 75,Rs. 110,-,Rs. 140,-,Rs. 120,-,Rs. 140,-,Rs. 110,-,Rs. 115,-,Rs. 145,-,-,-,Rs. 150,-,Rs. 90,-,Rs. 110,-,Rs. 90,Rs. 70,Rs. 90,Rs. 40,Rs. 85,-,Rs. 130,Rs. 105,Rs. 135,-,Rs. 120,-,Rs. 125
2020-01-27,Rs. 60,Rs. 140,Rs. 55,Rs. 110,-,-,-,Rs. 110,-,-,-,Rs. 140,-,Rs. 110,Rs. 75,Rs. 90,-,Rs. 180,-,Rs. 120,-,Rs. 110,-,Rs. 90,-,Rs. 115,-,Rs. 150,-,-,-,Rs. 210,-,Rs. 75,-,-,-,Rs. 150,Rs. 35,Rs. 50,Rs. 55,Rs. 85,-,Rs. 130,-,Rs. 165,-,Rs. 110,-,Rs. 120
2020-01-20,Rs. 75,Rs. 160,Rs. 47,Rs. 90,-,-,-,Rs. 110,-,-,-,Rs. 135,-,Rs. 130,Rs. 65,Rs. 110,-,Rs. 160,-,Rs. 150,-,Rs. 110,-,Rs. 110,-,Rs. 145,-,Rs. 140,-,-,-,Rs. 200,-,Rs. 75,-,Rs. 140,-,-,Rs. 75,Rs. 90,Rs. 47,Rs. 90,-,Rs. 130,Rs. 105,Rs. 165,-,Rs. 150,-,Rs. 120
2020-01-13,-,Rs. 180,-,Rs. 110,-,-,-,Rs. 150,-,-,-,Rs. 170,-,Rs. 110,-,Rs. 90,-,Rs. 160,-,Rs. 180,-,Rs. 140,-,Rs. 110,-,Rs. 120,-,Rs. 150,-,-,-,Rs. 200,-,Rs. 80,-,Rs. 130,-,Rs. 85,-,Rs. 90,-,Rs. 105,-,Rs. 130,-,Rs. 155,-,Rs. 120,-,Rs. 110
2020-01-06,Rs. 75,Rs. 150,Rs. 57,Rs. 145,-,-,-,Rs. 150,-,-,-,-,-,Rs. 110,Rs. 55,Rs. 90,-,Rs. 190,-,Rs. 180,-,Rs. 140,-,Rs. 130,-,Rs. 170,-,Rs. 180,-,-,-,Rs. 210,-,Rs. 75,-,Rs. 135,-,Rs. 75,Rs. 70,Rs. 90,Rs. 60,Rs. 105,-,Rs. 130,Rs. 100,Rs. 155,-,Rs. 200,-,Rs. 110
Date,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-12-30,Rs. 100,Rs. 180,Rs. 90,Rs. 150,-,-,-,Rs. 150,-,-,-,-,-,Rs. 140,Rs. 95,Rs. 150,-,Rs. 170,-,Rs. 160,-,Rs. 160,-,Rs. 150,-,Rs. 170,-,Rs. 150,-,-,-,Rs. 210,-,-,-,Rs. 130,-,-,Rs. 90,Rs. 130,Rs. 95,Rs. 155,-,Rs. 150,Rs. 145,Rs. 210,-,Rs. 200,-,Rs. 115
2019-12-26,Rs. 95,-,Rs. 72,-,-,-,-,-,-,-,-,-,-,-,Rs. 95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Rs. 110,-,Rs. 115,-,-,-,Rs. 115,-,-,-,-,-
2019-12-23,Rs. 95,Rs. 160,Rs. 72,Rs. 130,-,-,-,Rs. 150,-,-,-,-,-,Rs. 110,Rs. 95,Rs. 150,-,Rs. 180,-,Rs. 110,-,Rs. 160,-,Rs. 170,-,Rs. 165,-,Rs. 180,-,-,-,Rs. 200,-,Rs. 55,-,Rs. 160,-,Rs. 85,Rs. 110,Rs. 170,Rs. 115,Rs. 155,-,Rs. 170,Rs. 115,Rs. 165,-,Rs. 200,-,Rs. 155
2019-12-19,Rs. 125,-,Rs. 130,-,-,-,-,-,-,-,-,-,-,-,Rs. 125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Rs. 100,-,Rs. 95,-,-,-,Rs. 85,-,-,-,-,-
2019-12-16,Rs. 130,Rs. 180,Rs. 130,Rs. 170,-,-,-,Rs. 150,-,-,-,-,-,Rs. 190,Rs. 125,Rs. 150,-,Rs. 180,-,Rs. 130,-,Rs. 190,-,Rs. 170,-,Rs. 165,-,Rs. 110,-,-,-,Rs. 130,-,Rs. 55,-,-,-,Rs. 85,Rs. 100,Rs. 130,Rs. 95,Rs. 145,-,Rs. 170,Rs. 85,Rs. 110,-,Rs. 200,-,Rs. 140
2019-12-09,Rs. 80,Rs. 140,Rs. 85,Rs. 130,-,-,-,Rs. 110,-,-,-,-,-,Rs. 90,Rs. 75,Rs. 130,-,Rs. 140,-,Rs. 110,-,Rs. 110,-,Rs. 65,-,Rs. 110,-,Rs. 110,-,Rs. 110,-,Rs. 130,-,Rs. 40,-,Rs. 170,-,Rs. 85,Rs. 43,Rs. 55,Rs. 95,Rs. 135,-,Rs. 170,Rs. 105,Rs. 140,-,Rs. 110,-,-
2019-12-02,Rs. 60,Rs. 110,Rs. 45,Rs. 90,-,Rs. 80,-,Rs. 90,-,-,-,-,-,Rs. 90,Rs. 55,Rs. 90,-,Rs. 100,-,Rs. 105,-,Rs. 90,-,Rs. 65,-,Rs. 90,-,Rs. 90,-,Rs. 110,-,Rs. 120,-,Rs. 40,-,Rs. 110,-,Rs. 85,Rs. 45,Rs. 65,Rs. 55,Rs. 85,-,Rs. 90,-,Rs. 100,-,Rs. 100,-,-
2019-11-25,Rs. 40,Rs. 95,Rs. 33,Rs. 70,-,-,-,Rs. 90,-,-,-,Rs. 110,-,Rs. 90,Rs. 45,Rs. 90,-,-,-,Rs. 105,-,Rs. 80,-,Rs. 70,-,Rs. 110,-,Rs. 70,-,Rs. 110,-,Rs. 120,-,Rs. 45,-,Rs. 100,-,Rs. 85,Rs. 53,Rs. 70,Rs. 38,Rs. 65,-,Rs. 90,-,Rs. 125,-,Rs. 100,-,Rs. 90
2019-11-21,Rs. 45,-,Rs. 32,-,Rs. 58,-,-,-,-,-,-,-,-,-,Rs. 65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Rs. 42,-,-,-,-,-,-,-,-,-
2019-11-18,Rs. 60,-,Rs. 58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Date,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-11-11,Rs. 50,Rs. 140,Rs. 40,Rs. 90,Rs. 58,Rs. 83,-,Rs. 110,-,-,-,Rs. 90,-,Rs. 90,Rs. 48,Rs. 90,-,Rs. 120,-,Rs. 110,-,Rs. 90,-,Rs. 75,-,Rs. 85,-,Rs. 100,-,Rs. 110,-,Rs. 160,-,Rs. 90,-,Rs. 110,-,Rs. 75,Rs. 45,Rs. 65,Rs. 45,Rs. 85,-,Rs. 110,-,-,-,Rs. 110,-,Rs. 90
2019-11-07,Rs. 100,Rs. 120,Rs. 55,Rs. 70,-,-,Rs. 90,Rs. 110,-,-,Rs. 110,Rs. 95,Rs. 90,Rs. 90,Rs. 70,Rs. 90,Rs. 100,Rs. 100,-,Rs. 110,Rs. 70,Rs. 70,Rs. 70,Rs. 90,Rs. 70,Rs. 75,-,Rs. 90,Rs. 110,Rs. 110,Rs. 120,Rs. 120,Rs. 45,Rs. 40,Rs. 130,-,-,-,Rs. 70,Rs. 70,Rs. 45,Rs. 85,Rs. 90,Rs. 90,Rs. 100,-,-,Rs. 95,Rs. 110,Rs. 90
2019-10-28,Rs. 50,Rs. 140,Rs. 40,Rs. 70,-,-,-,Rs. 110,-,-,-,Rs. 85,-,Rs. 100,Rs. 45,Rs. 70,-,Rs. 100,-,Rs. 75,-,Rs. 70,-,Rs. 55,-,Rs. 75,-,Rs. 100,-,Rs. 110,-,Rs. 120,-,Rs. 45,-,Rs. 90,-,-,Rs. 28,Rs. 50,Rs. 45,Rs. 85,-,-,-,-,-,Rs. 95,-,Rs. 90
2019-10-21,Rs. 30,Rs. 100,Rs. 30,Rs. 70,-,-,-,Rs. 110,-,-,-,Rs. 90,-,Rs. 80,Rs. 38,Rs. 70,-,Rs. 100,-,Rs. 75,-,Rs. 70,-,-,-,Rs. 75,-,Rs. 100,-,Rs. 110,-,Rs. 100,-,Rs. 45,-,Rs. 100,-,-,Rs. 25,Rs. 45,Rs. 28,Rs. 55,-,Rs. 80,-,-,-,Rs. 95,-,Rs. 65
2019-10-14,Rs. 30,Rs. 100,Rs. 22,Rs. 60,-,-,-,Rs. 90,-,-,-,Rs. 110,-,Rs. 90,Rs. 35,Rs. 70,-,Rs. 100,-,Rs. 80,-,Rs. 70,-,Rs. 70,-,Rs. 70,-,Rs. 90,-,Rs. 110,-,Rs. 110,-,Rs. 45,-,Rs. 100,-,-,Rs. 55,Rs. 70,Rs. 28,Rs. 45,-,Rs. 90,-,-,-,-,-,Rs. 70
2019-10-07,Rs. 30,Rs. 100,Rs. 18,Rs. 55,-,-,-,Rs. 90,-,-,-,Rs. 110,-,Rs. 90,Rs. 38,Rs. 70,-,Rs. 100,-,-,-,Rs. 70,-,Rs. 70,-,Rs. 70,-,-,-,Rs. 110,-,Rs. 120,-,Rs. 45,-,Rs. 130,-,-,Rs. 35,Rs. 70,Rs. 28,Rs. 45,-,Rs. 90,Rs. 70,Rs. 100,-,-,-,Rs. 110
2019-09-30,Rs. 40,Rs. 100,Rs. 20,Rs. 55,-,-,-,Rs. 80,-,-,-,Rs. 110,-,Rs. 90,Rs. 43,Rs. 90,-,Rs. 80,-,-,-,Rs. 70,-,Rs. 70,-,Rs. 90,-,-,-,Rs. 110,-,Rs. 100,-,Rs. 45,-,Rs. 85,-,-,Rs. 45,Rs. 70,Rs. 38,Rs. 65,-,Rs. 90,Rs. 65,Rs. 100,-,-,-,Rs. 110
2019-09-23,Rs. 40,Rs. 120,Rs. 28,Rs. 70,-,-,-,Rs. 70,-,-,-,-,-,-,Rs. 45,Rs. 90,-,Rs. 130,-,-,-,Rs. 80,-,Rs. 65,-,Rs. 90,-,-,-,Rs. 110,-,Rs. 100,-,Rs. 45,-,Rs. 90,-,-,Rs. 35,Rs. 50,Rs. 38,Rs. 65,-,Rs. 75,Rs. 55,Rs. 110,-,-,-,Rs. 90
2019-09-16,Rs. 45,Rs. 100,Rs. 33,Rs. 90,-,-,-,Rs. 70,-,-,-,-,-,Rs. 90,Rs. 43,Rs. 90,-,Rs. 140,-,-,-,Rs. 90,-,Rs. 75,-,Rs. 80,-,Rs. 100,-,Rs. 110,-,-,-,Rs. 45,-,Rs. 100,-,-,Rs. 50,Rs. 70,Rs. 38,Rs. 65,-,Rs. 80,Rs. 75,Rs. 120,-,-,-,Rs. 90
2019-09-09,Rs. 45,Rs. 100,Rs. 30,Rs. 70,-,-,-,Rs. 90,-,-,-,-,-,Rs. 95,Rs. 45,Rs. 75,-,Rs. 120,-,-,-,Rs. 70,-,Rs. 75,-,Rs. 90,-,-,-,Rs. 110,-,Rs. 140,-,Rs. 45,-,Rs. 95,-,-,Rs. 45,Rs. 70,Rs. 33,Rs. 65,-,Rs. 80,Rs. 55,Rs. 110,-,-,-,Rs. 90
Date,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-09-02,Rs. 45,Rs. 120,Rs. 25,Rs. 70,-,-,-,Rs. 90,-,-,-,-,-,Rs. 90,Rs. 45,Rs. 75,-,-,-,-,-,Rs. 70,-,Rs. 75,-,-,-,-,-,Rs. 110,-,Rs. 110,-,-,-,Rs. 90,-,-,-,-,Rs. 33,Rs. 65,-,Rs. 70,-,-,-,-,-,Rs. 90
2019-08-26,Rs. 40,Rs. 100,Rs. 38,Rs. 70,-,-,-,Rs. 90,-,-,-,-,-,Rs. 85,Rs. 43,Rs. 75,-,-,-,-,-,Rs. 80,-,Rs. 75,-,-,-,-,-,Rs. 110,-,Rs. 90,-,Rs. 45,-,Rs. 80,-,-,-,-,Rs. 48,Rs. 85,-,Rs. 70,-,-,-,-,-,Rs. 70
2019-08-19,Rs. 50,Rs. 100,Rs. 30,Rs. 70,-,-,-,Rs. 90,-,-,-,-,-,Rs. 70,Rs. 38,Rs. 75,-,-,-,-,-,Rs. 80,-,Rs. 75,-,-,-,-,-,Rs. 90,-,Rs. 110,-,Rs. 45,-,Rs. 98,-,-,-,-,Rs. 45,Rs. 85,-,Rs. 70,-,-,-,-,-,Rs. 90
2019-08-12,Rs. 40,Rs. 100,Rs. 30,Rs. 70,-,-,-,Rs. 90,-,-,-,-,-,Rs. 90,Rs. 40,Rs. 75,-,-,-,-,-,Rs. 70,-,Rs. 90,-,-,-,-,-,Rs. 90,-,Rs. 110,-,Rs. 45,-,Rs. 80,-,-,-,-,Rs. 45,Rs. 85,-,-,-,-,-,-,-,Rs. 90
2019-08-05,Rs. 25,Rs. 100,Rs. 28,Rs. 75,-,-,-,Rs. 70,-,-,-,-,-,Rs. 65,Rs. 43,Rs. 65,-,-,-,Rs. 65,-,Rs. 70,-,-,-,-,-,-,-,Rs. 90,-,Rs. 100,-,Rs. 45,-,Rs. 95,-,-,Rs. 33,Rs. 55,Rs. 33,Rs. 65,-,Rs. 80,-,-,-,-,-,Rs. 70
2019-07-29,Rs. 25,Rs. 100,Rs. 28,Rs. 70,-,-,-,Rs. 40,-,Rs. 80,-,-,-,Rs. 65,Rs. 35,Rs. 65,-,-,-,Rs. 60,-,Rs. 80,-,Rs. 90,-,Rs. 80,-,Rs. 90,-,Rs. 90,-,Rs. 100,-,Rs. 45,-,Rs. 80,-,-,Rs. 30,Rs. 55,Rs. 33,Rs. 65,-,Rs. 75,-,-,-,Rs. 110,-,Rs. 70
2019-07-24,Rs. 25,-,Rs. 20,-,-,-,-,-,-,-,-,-,-,-,Rs. 28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2019-07-22,Rs. 30,Rs. 100,Rs. 33,Rs. 70,-,-,-,Rs. 50,-,Rs. 75,-,-,-,Rs. 90,Rs. 40,Rs. 75,-,-,-,Rs. 75,-,Rs. 80,-,-,-,Rs. 80,-,Rs. 70,-,Rs. 100,-,Rs. 110,-,Rs. 55,-,Rs. 90,-,-,Rs. 33,Rs. 55,Rs. 35,Rs. 65,-,Rs. 80,Rs. 35,Rs. 70,-,Rs. 110,-,Rs. 70
2019-07-15,-,Rs. 100,-,Rs. 70,-,-,-,Rs. 50,-,Rs. 75,-,-,-,Rs. 90,-,Rs. 75,-,-,-,Rs. 75,-,Rs. 80,-,-,-,Rs. 80,-,Rs. 70,-,Rs. 100,-,Rs. 110,-,Rs. 55,-,Rs. 90,-,-,-,Rs. 55,-,Rs. 65,-,Rs. 80,-,Rs. 70,-,Rs. 110,-,Rs. 70
2019-07-11,-,Rs. 100,-,Rs. 70,-,-,-,Rs. 45,-,Rs. 110,-,-,-,Rs. 90,-,Rs. 70,-,-,-,Rs. 75,-,Rs. 80,-,Rs. 90,-,Rs. 90,-,Rs. 80,-,Rs. 100,-,Rs. 120,-,-,-,Rs. 95,-,Rs. 55,-,Rs. 55,-,Rs. 65,-,Rs. 70,-,Rs. 110,-,Rs. 110,-,Rs. 90
Date,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-07-01,Rs. 35,Rs. 100,Rs. 30,Rs. 70,-,-,-,Rs. 70,-,Rs. 100,-,-,-,Rs. 80,Rs. 40,Rs. 70,-,-,-,-,-,Rs. 70,-,Rs. 90,-,Rs. 90,-,Rs. 100,-,Rs. 90,-,-,-,Rs. 70,-,Rs. 130,-,-,Rs. 33,Rs. 55,Rs. 35,Rs. 65,-,Rs. 70,Rs. 65,Rs. 110,-,Rs. 110,-,Rs. 70
2019-06-06,Rs. 35,Rs. 30,Rs. 33,Rs. 33,-,-,-,-,-,-,-,-,-,-,Rs. 38,Rs. 38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Rs. 33,Rs. 33,Rs. 35,Rs. 35,-,-,Rs. 55,Rs. 55,-,-,-,-
2019-05-30,Rs. 30,Rs. 150,Rs. 24,Rs. 55,-,-,-,Rs. 70,-,-,-,-,-,Rs. 90,Rs. 35,Rs. 70,-,-,-,Rs. 75,-,Rs. 80,-,Rs. 110,-,Rs. 100,-,Rs. 90,-,Rs. 80,-,-,-,Rs. 45,-,Rs. 90,-,-,Rs. 45,Rs. 65,Rs. 28,Rs. 55,-,Rs. 80,Rs. 55,Rs. 90,-,Rs. 105,-,Rs. 90
